Asset Number,Asset Description,Building,Floor,Department,Room,Condition,Status,Notes
TR118*001667,"Computer, Monitor, DELL, SN. CN-OT9Y04FCC0098GA3EB-AOG",PHASE I& II,GROUND,,CONFERENCE (STUDENT),Very Good,Active,
TR118*000500,"Computer, Monitor, Dell, SN: 0T9Y04FCC00746DNNBA00",MOI PHASE I &II,FIRST FLOOR,DAHRM,ROOM 228: REGISTRY,POOR,Active,
TR118*000617,"Computer, Monitor, Dell, SN: 0X82HR728725BACYPBA00",MOI PHASE I &II,FIRST FLOOR,DAHRM,275 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*000498,"Computer, Monitor, Dell, SN: 9TQXT82",MOI PHASE I &II,FIRST FLOOR,DAHRM,ROOM 228: REGISTRY,GOOD,Active,
TR118*000369,"Computer, Monitor, Dell, SN: CN05NO1GFCC0023CA4TBA16",MOI PHASE I &II,FIRST FLOOR,DOT,DOCTOR'S ROOM TEAM A,NEW,Active,
TR118*000683,"Computer, Monitor, Dell, SN: CN07CXPR72872630A11IA00",MOI PHASE I &II,FIRST FLOOR,DFP,CASHIER OFFICE ROOM 230,GOOD,Active,
TR118*000613,"Computer, Monitor, Dell, SN: CN0882HR728725BCE1WBA00",MOI PHASE I &II,FIRST FLOOR,DAHRM,271 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*000554,"Computer, Monitor, Dell, SN: CN0MK0P9FCC001B3E4EBA07",MOI PHASE I &II,FIRST FLOOR,DAHRM,HRM,GOOD,Active,
TR118*005110,"Computer, Monitor, Dell, SN: CN0P409N742619CP0F5U",MOI PHASE I &II,FIRST FLOOR,TEEM,ROOM 216,FAIR,Active,
TR118*000088,"Computer, MONITOR, DELL, SN: CN0PD06D72872569C6RU",MOI PHASE I &II,FIRST FLOOR,PHYSIO,RECEPTION,GOOD,Active,
TR118*000605,"Computer, Monitor, Dell, SN: CNONKOP9FCC001D3E5PBA07",MOI PHASE I &II,FIRST FLOOR,DAHRM,263 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*000159,"Computer, Monitor, Dell, SN: CNOR735N6418011H23KM",MOI PHASE I &II,FIRST FLOOR,HR,240 DOCROR'S SECRETARY,GOOD,Active,
TR118*000496,"Computer, Monitor, Dell, SN: CNOTY9Y04FCC00A00",MOI PHASE I &II,FIRST FLOOR,DAHRM,ROOM 228: REGISTRY,GOOD,Active,
TR118*001938,"Computer, Monitor, Dell. SN CN-OX82HR-72872-5D-AMED-A00",PHASE I& II,GROUND,DCSS,OT Pharmacy,V.Good,Active,
TR118*001096,"Computer, Monitor, Evvoli, SN 19EV100180800063",PHASE I& II,GROUND,DCSS,Community Pharmacy,Fair,Active,
MOI/DISP/OE/0699,"COMPUTER, MONITOR, HP",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
TR118*000648,"Computer, Monitor, HP 19 G4, SN: 3CQ2130XZL",MOI PHASE I &II,FIRST FLOOR,DFP,ROOM NO 232,GOOD,Active,
TR118*000541,"Computer, Monitor, HP EliteDisplay 321, SN: 3CQ351183W",MOI PHASE I &II,FIRST FLOOR,DFP,HOE,GOOD,Active,
TR118*000641,"Computer, Monitor, HP Elitedisplay E231, SN: 6CM3321M6M",MOI PHASE I &II,FIRST FLOOR,DFP,ROOM NO 232,GOOD,Active,
TR118*000543,"Computer, Monitor, HP EliteDisplay E2411, SN: CN45031H5F",MOI PHASE I &II,FIRST FLOOR,DFP,HOE,GOOD,Active,
TR118*000086,"Computer, Monitor, HP EliteDisplay E2411, SN: CN45031HSG",MOI PHASE I &II,FIRST FLOOR,PHYSIO,RECEPTION,GOOD,Active,
TR118*000643,"Computer, Monitor, HP LV1911, SN: 6CM31307XZ",MOI PHASE I &II,FIRST FLOOR,DFP,ROOM NO 232,GOOD,Active,
TR118*000872,"Computer, Monitor, HP M22F FHD, SN: 3CM1192D96",MOI PHASE I &II,FIRST FLOOR,DAHRAM,214: DAHRM OFFICE,GOOD,Active,
TR118*000615,"Computer, Monitor, HP P19B G4, SN: 3CQ10507HM",MOI PHASE I &II,FIRST FLOOR,DAHRM,273 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*000275,"Computer, Monitor, HP P19B G4, SN: 3CQ15192X7",MOI PHASE I &II,FIRST FLOOR,FINANCE,PAYROLL,NEW,Active,
TR118*000848,"Computer, Monitor, HP P19B G4, SN: 3CQ2130X7K",MOI PHASE I &II,FIRST FLOOR,DAHRAM,209: MANAGER ADMIN,NEW,Active,
TR118*000646,"Computer, Monitor, HP P19B G4, SN: 3CQ2130X7L",MOI PHASE I &II,FIRST FLOOR,DFP,ROOM NO 232,GOOD,Active,
TR118*000650,"Computer, Monitor, HP P19B G4, SN: 3CQ2130X7S",MOI PHASE I &II,FIRST FLOOR,DFP,ROOM NO 232,GOOD,Active,
TR118*000601,"Computer, Monitor, HP P19B G4, SN: 3CQ2130X7Y",MOI PHASE I &II,FIRST FLOOR,DAHRM,261 HR TRAINING AND ADMINSTR,NEW,Active,
TR118*000494,"Computer, Monitor, HP P19B, SN: 3CQ2500793",MOI PHASE I &II,FIRST FLOOR,DAHRM,ROOM 228: REGISTRY,NEW,Active,
TR118*000677,"Computer, Monitor, HP P22V G4, SN: CN414921VY",MOI PHASE I &II,FIRST FLOOR,DFP,DFP OFFICE: SECRETARY,GOOD,Active,
TR118*008296,"Computer, Monitor, HP P22V G4, SN: CN42480MHD",MOI PHASE I &II,FIRST FLOOR,DNS,217,NEW,Active,
TR118*000748,"Computer, Monitor, HP P22V G5, SN: CNK32407H2",MOI PHASE I &II,FIRST FLOOR,ED,ED OFFICE: SECRETARY,NEW,Active,
TR118*000649,"Computer, Monitor, HP P22V G5, SN: CNK3240D71",MOI PHASE I &II,FIRST FLOOR,DFP,ROOM NO 232,NEW,Active,
TR118*000279,"Computer, Monitor, HP P22V G5, SN: CNK3411628",MOI PHASE I &II,FIRST FLOOR,FINANCE,PAYROLL,NEW,Active,
TR118*000281,"Computer, Monitor, HP P22V G5, SN: CNK341162K",MOI PHASE I &II,FIRST FLOOR,FINANCE,PAYROLL,NEW,Active,
TR118*000274,"Computer, Monitor, HP P22v G5, SN: SNK341162P",MOI PHASE I &II,FIRST FLOOR,FINANCE,PAYROLL,NEW,Active,
TR118*001256,"Computer, Monitor, HP SN 36Q83815V4",PHASE I& II,GROUND,DNS,110,Fair,Active,
TR118*001369,"Computer, Monitor, HP SN 6CM4290MGM",PHASE I& II,GROUND,DNS,113,Fair,Active,
TR118*000271,"Computer, Monitor, HP V194, SN: 3CQ0151J9Q",MOI PHASE I &II,FIRST FLOOR,FINANCE,PAYROLL,FAIR,Active,
TR118*000598,"Computer, Monitor, HP V194, SN: 3CQ8111M7V",MOI PHASE I &II,FIRST FLOOR,DAHRM,258 HR TRAINING AND ADMINSTR,FAIR,Active,
TR118*000595,"Computer, Monitor, HP V194, SN: 3CQ8111M8D",MOI PHASE I &II,FIRST FLOOR,DAHRM,255 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*000283,"Computer, Monitor, HP V194, SN: 3CQ81506KY",MOI PHASE I &II,FIRST FLOOR,FINANCE,PAYROLL,GOOD,Active,
TR118*000789,"Computer, Monitor, HP V194, SN: 3CQ9100D8T",MOI PHASE I &II,FIRST FLOOR,DFP,208: FM,GOOD,Active,
TR118*005151,"Computer, Monitor, HP V194, SN: 3CQ947119F",MOI PHASE I &II,FIRST FLOOR,CRTM,ARCHIVE,GOOD,Active,
TR118*005147,"Computer, Monitor, HP V194, SN: 3CQ947169T",MOI PHASE I &II,FIRST FLOOR,CRTM,ARCHIVE,GOOD,Active,
TR118*000007,"Computer, Monitor, HP v197, SN: 1CR2130KZ5",MOI PHASE I &II,FIRST FLOOR,PHYSIO,247:MANAGER REHABILITATION,GOOD,Active,
TR118*000438,"Computer, Monitor, HP V197, SN: 3CQ7210VCJ",MOI PHASE I &II,FIRST FLOOR,DOT,DOCTOR'S ROOM PEDIATRIC,GOOD,Active,
TR118*000435,"Computer, Monitor, HP V197, SN: 3CQ7210VCZ",MOI PHASE I &II,FIRST FLOOR,DOT,DOCTOR'S ROOM PEDIATRIC,GOOD,Active,
TR118*000317,"Computer, Monitor, HP V197, SN: 3CQ72402XJ",MOI PHASE I &II,FIRST FLOOR,DOT,ROOM NO 202,GOOD,Active,
TR118*008240,"Computer, Monitor, HP V197, SN: 3CQ830203R",MOI PHASE I &II,FIRST FLOOR,PHYSIO,ROOM 11,GOOD,Active,
TR118*000611,"Computer, Monitor, HP V197, SN: 3CQ83808Z5",MOI PHASE I &II,FIRST FLOOR,DAHRM,269 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*000896,"Computer, Monitor, HP V214A, SN: CNC81025Q3",MOI PHASE I &II,FIRST FLOOR,DAHRAM,214: DAHRM OFFICE SECRETARY,GOOD,Active,
TR118*000285,"Computer, Monitor, HP V221VB, SN: CNC1211KJY",MOI PHASE I &II,FIRST FLOOR,FINANCE,PAYROLL,GOOD,Active,
TR118*000857,"Computer, Monitor, HP V221VB, SN: CNC12CQB4F",MOI PHASE I &II,FIRST FLOOR,DNE,212: DNE OFFICE,NEW,Active,
TR118*000910,"Computer, Monitor, HP V221VB, SN: CNC1510Z31",MOI PHASE I &II,FIRST FLOOR,DCSS,210: DCSS OFFICE,NEW,Active,
TR118*000776,"Computer, Monitor, HP V221VB, SN: CNC15112N5",MOI PHASE I &II,FIRST FLOOR,ED,211: INTERNAL AUDIT MANAGER,NEW,Active,
TR118*000829,"Computer, Monitor, HP W2072A, SN: CNC511NXLD",MOI PHASE I &II,FIRST FLOOR,DOT ,215: DOT SECRETARY,GOOD,Active,
TR118*001263,"Computer, Monitor, HP, SN 3CM71810X5",PHASE I& II,GROUND,ED,106,New,Active,
TR118*001090,"Computer, Monitor, HP, SN 3CM91004GY",PHASE I& II,GROUND,DCSS,Community Pharmacy,Very Good,Active,
TR118*008854,"Computer, Monitor, HP, SN 3CQ1310XGR",CONTAINER,GROUND FLOOR,DNS,TUGHE,Good,Active,
TR118*001048,"Computer, Monitor, HP, SN 3CQ2130X7W",PHASE I& II,GROUND,DCSS,Community Pharmacy,New,Active,
TR118*001128,"Computer, Monitor, HP, SN 3CQ74014JQ",PHASE I& II,GROUND,DCSS,118,Good,Active,
TR118*001026,"Computer, Monitor, HP, SN 3CQ8060QW1",PHASE I& II,GROUND,DCSS,Phamacy-IP/OP,Very Good,Active,
TR118*005501,"Computer, Monitor, HP, SN 3CQ8080LPC",PHASE I& II,GROUND,DCSS,Anaesthesia Office,V.Good,Active,
TR118*001061,"Computer, Monitor, HP, SN 3CQ8470QBP",PHASE I& II,GROUND,DCSS,Community Pharmacy,Good,Active,
TR118*001092,"Computer, Monitor, HP, SN 3CQ915197Y",PHASE I& II,GROUND,DCSS,Community Pharmacy,Good,Active,
TR118*001406,"Computer, Monitor, HP, SN 3CQ9161F1B",PHASE I& II,GROUND,OPD,114,Good,Active,
TR118*005938,"Computer, Monitor, HP, SN 3CQ9171NJ6",PHASE I& II,GROUND,DCSS,I/C Office Sterilization,V.Good,Active,
TR118*001168,"Computer, Monitor, HP, SN 4504030H",PHASE I& II,GROUND,DNS,110,Very Good,Active,
TR118*001180,"Computer, Monitor, HP, SN 4531SL7",PHASE I& II,GROUND,DNS,110,Very Good,Active,
TR118*005525,"Computer, Monitor, HP, SN CN4504030Q",PHASE I& II,GROUND,DCSS,Anaesthesia Office,V.Good,Active,
TR118*001444,"Computer, Monitor, HP, SN CNC7450GWF",PHASE I& II,GROUND,DCSS,116,Very Good,Active,
TR118*001443,"Computer, Monitor, HP, SN CNC7511C32",PHASE I& II,GROUND,DCSS,116,New,Active,
TR118*001184,"Computer, Monitor, HP, SN CNC81021KM",PHASE I& II,GROUND,DNS,110,Very Good,Active,
TR118*001576,"Computer, Monitor, HP, SN, 1CR9470S91",PHASE I& II,GROUND,DNS,Doctors Room -144,Very Good,Active,
TR118*001620,"Computer, Monitor, HP, SN. 3CM210323D",PHASE I& II,GROUND,DCSS,DIGITAL X-RAY ROOM,New,Active,
TR118*001450,"Computer, monitor, HP, SN. 3CQ15103KY",PHASE I& II,GROUND,DCSS,117,New,Active,
TR118*001315,"Computer, monitor, HP, SN. 3CQ2090XH4",PHASE I& II,GROUND,DFP,112,New,Active,
TR118*000989,"Computer, Monitor, HP, SN. 3CQ2130XXK",PHASE I& II,GROUND,DFP,104,New,Active,
TR118*001805,"Computer, Monitor, HP, SN. 3CQ806182T",PHASE I& II,GROUND,TEEM,136,Good,Active,
TR118*008721,"Computer, Monitor, HP, SN. 3CQ8122YOW",PHASE I& II,GROUND,DCSS,COMMUNITY PHARMACY WAITING AREA,Fair,Active,
TR118*008723,"Computer, Monitor, HP, SN. 3CQ815ORK9",PHASE I& II,GROUND,DCSS,COMMUNITY PHARMACY WAITING AREA,Fair,Active,
TR118*000991,"Computer, Monitor, HP, SN. 3CQ9162F1Q",PHASE I& II,GROUND,DFP,104,New,Active,
TR118*008839,"Computer, Monitor, HP, SN. CN41484MPH",CONTAINER,GROUND FLOOR,DNS,SOCIAL WALFARE,Very Good,Active,
TR118*008827,"Computer, Monitor, HP, SN. CN42480LLS",CONTAINER,FIRST FROOL,DNS,SOCIAL WALFARE,New,Active,
MOI/DISP/ME/741,"COMPUTER, MONITOR, HP, SN. CN45040312",,,,,,Active,
TR118*001088,"Computer, Monitor, HP, SN. CNK325099G",PHASE I& II,GROUND,DCSS,Community Pharmacy,New,Active,
TR118*001001,"Computer, Monitor, HP, SN.3CQ2500786",PHASE I& II,GROUND,DFP,105,New,Active,
TR118*000996,"Computer, Monitor, HP, SN.3CQ25007BV",PHASE I& II,GROUND,DFP,105,New,Active,
TR118*000269,"Computer, Monitor, HP, SN: 3CQ2130X7Z",MOI PHASE I &II,FIRST FLOOR,FINANCE,PAYROLL,GOOD,Active,
TR118*000157,"Computer, Monitor, HP, SN: 3CQ2500610",MOI PHASE I &II,FIRST FLOOR,HR,240 DOCROR'S SECRETARY,GOOD,Active,
TR118*000120,"Computer, Monitor, HP, SN: 3CQ2500716",MOI PHASE I &II,FIRST FLOOR,INTERNAL AUDIT,INTERNAL AUDIT OFFICE,NEW,Active,
TR118*000061,"Computer, Monitor, HP, SN: 3CQ8300V3F",MOI PHASE I &II,FIRST FLOOR,PHYSIO,CONSULTATION ROOM 8,GOOD,Active,
TR118*000079,"Computer, Monitor, HP, SN: 3CQ830203C",MOI PHASE I &II,FIRST FLOOR,PHYSIO,CONSULTATION ROOM 9,GOOD,Active,
TR118*000191,"Computer, Monitor, HP, SN: 41484KB2",MOI PHASE I &II,FIRST FLOOR,PROCUREMENT UNIT,239 PROCUREMENT MNGT UNIT,GOOD,Active,
TR118*000347,"Computer, Monitor, HP, SN: 6CM8151LP3",MOI PHASE I &II,FIRST FLOOR,DNE,NEOUROSUGERY ROOM 209,GOOD,Active,
TR118*000142,"Computer, Monitor, HP, SN: CNC1211KKK",MOI PHASE I &II,FIRST FLOOR,PMU,PMU MANAGER OFFICE,GOOD,Active,
TR118*000214,"Computer, MONITOR, HP, SN: CNC1510Z2L",MOI PHASE I &II,FIRST FLOOR,PROCUREMENT UNIT,239 PROCUREMENT MNGT UNIT,NEW,Active,
TR118*000216,"Computer, Monitor, HP, SN: CNC32903ZW",MOI PHASE I &II,FIRST FLOOR,PROCUREMENT UNIT,239 PROCUREMENT MNGT UNIT,GOOD,Active,
TR118*000051,"Computer, Monitor, HP, SN: CNK341157YT",MOI PHASE I &II,FIRST FLOOR,PHYSIO,PHYSIOTHERARY GYMNASIUM,NEW,Active,
TR118*000211,"Computer, Monitor, HP, SN:CR93113YY",MOI PHASE I &II,FIRST FLOOR,PROCUREMENT UNIT,239 PROCUREMENT MNGT UNIT,GOOD,Active,
MOI/DISP/ME/739,"COMPUTER, MONITOR, HP, V197",,,,,,Active,
TR118*001328,"Computer, Monitor, HP. SN CNC82609XJ",PHASE I& II,GROUND,ED,112,Very Good,Active,
TR118*001936,"Computer, Monitor, HP. SN CNK3240D4H",PHASE I& II,GROUND,DCSS,OT Pharmacy,V.Good,Active,
MOI/DISP/ME/740,"COMPUTER, MONITOR, LENOVO, SN. 4ML1253E250749",,,,,,Active,
TR118*002320,"COMPUTER, MONITOR,DELL",PHASE III,1 FLOOR ,LAB,LABORATORY STORE,GOOD,Active,
TR118*002321,"COMPUTER, MONITOR,DELL",PHASE III,1 FLOOR ,LAB,CLINICAL CHEMISTRY,GOOD,Active,
TR118*002214,"COMPUTER, MONITOR,HP",PHASE III,2 FLOOR,2A,CUBE 2,FAIR,Active,
TR118*008312,"COMPUTER, MONITOR,HP",PHASE III,BASEMENT,SUPPLIES UNIT OFFICE NO 2,SUPPLIES UNIT OFFICE NO 2,GOOD,Active,
TR118*002351,"COMPUTER, MONITOR,Thinkvision",PHASE III,1 FLOOR ,LAB,BLOOD TRANSFUSSION,GOOD,Active,
TR118*001170,"Computer, Monotor, HP, SN 3CQ2130XXS",PHASE I& II,GROUND,DNS,110,Very Good,Active,
TR118*GAMIS12,"COMPUTER, -TALLY SERVER 50 USERS",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*000379,"Computer,CPU & Monitor, Lenovo Neo, core i7, SN: 7716228000007",MOI PHASE I &II,FIRST FLOOR,DOT,DOCTOR'S ROOM TEAM T ,NEW,Active,
TR118*000394,"Computer,CPU & Monitor, Lenovo Neo, core i7, SN: 7716228000019",MOI PHASE I &II,FIRST FLOOR,DNE,DOCTOR'S ROOM NEUROSURGERY,NEW,Active,
TR118*000395,"Computer,CPU & Monitor, Lenovo Neo, core i7, SN: 7716228000023",MOI PHASE I &II,FIRST FLOOR,DNE,DOCTOR'S ROOM NEUROSURGERY,GOOD,Active,
TR118*000371,"Computer,CPU & Monitor, Lenovo Neo, core i7, SN: 7716228000025",MOI PHASE I &II,FIRST FLOOR,DOT,DOCTOR'S ROOM TEAM A,NEW,Active,
TR118*000370,"Computer,CPU & Monitor, Lenovo Neo, core i7, SN: 7716228000031",MOI PHASE I &II,FIRST FLOOR,DOT,DOCTOR'S ROOM TEAM A,NEW,Active,
TR118*000378,"Computer,CPU & Monitor, Lenovo Neo, core i7, SN: 7716228000035",MOI PHASE I &II,FIRST FLOOR,DOT,DOCTOR'S ROOM TEAM T ,NEW,Active,
TR118*006506,"COMPUTER,CPU (HP,Core i5 6600 CPU @3.30GHz)",PHASE III,GROUND,RADIOLOGY,MRI NO.2,GOOD,Active,
TR118*GAMIS263,"COMPUTER,CPU AND CAMERA FOR BIOMETRIC",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*006963,"COMPUTER,CPU DELL(Intel® Core i7-10700 @2.90GHz)",PHASE III,GROUND,EMD,EMD COMMUNITY PHARMACY,GOOD,Active,
TR118*002934,"COMPUTER,CPU HP ",PHASE III,GROUND,RADIOLOGY,MRI ROOM 1,NEW,Active,
TR118*002874,"COMPUTER,CPU HP Compaq Pro 6300 SFF,corei3-3220",PHASE III,1 FLOOR ,ICU,ICU ROOM 1,GOOD,Active,
TR118*0066662,"COMPUTER,CPU HP S/N 4CE0181814F",PHASE III,BASEMENT,TECHNICAL SERVICE DEPT,OFFICE 1,GOOD,Active,
TR118*007225,"COMPUTER,CPU HP SN 4CE7463R5Q",PHASE III,BASEMENT,TECHNICAL SERVICE DEPT,OFFICE 3,GOOD,Active,
TR118*008532,"COMPUTER,CPU HP, PRO TOWER ,290 G9 DESKTOP PC,CORE ™i7",PHASE III,BASEMENT,LAUNDRY,LAUNDRY,NEW,Active,
TR118*007132,"COMPUTER,CPU(DELL Optiplex 3020,Corei3-4150)",PHASE III,BASEMENT,PHARMACY STORE,PHARMACY STORE,GOOD,Active,
TR118*007130,"COMPUTER,CPU(DELL)",PHASE III,BASEMENT,PHARMACY STORE,PHARMACY STORE,GOOD,Active,
TR118*007259,"COMPUTER,CPU(HP 290 G4 Microtower,Core i7-10700)",PHASE III,GROUND,EMD,EMERGENCY RECEPTION,GOOD,Active,
TR118*007270,"COMPUTER,CPU(HP Pro Tower 290 G9,Desktop PC)",PHASE III,GROUND,EMD,EMERGENCY CASHIER,NEW,Active,
TR118*002710,"COMPUTER,CPU(HP ProDesk 400 G5 MT,Core i5",PHASE III,1 FLOOR ,ICU,ICU ROOM 2,GOOD,Active,
TR118*002478,"COMPUTER,CPU(HP ProDesk 400 G5 MT,corei7-12700)",PHASE III,1 FLOOR ,HDU,CUBE 2,GOOD,Active,
MOI/DISP/EO/0618,"Computer,CPU,  LENOVO H520P",,,,,,Active,
MOI/DISP/EO/0616,"Computer,CPU, ACER, VERYTONE M290",,,,,,Active,
MOI/DISP/EO/0538,"Computer,CPU, DELL DIMENSION 3000",,,,,,Active,
TR1118*006415,"COMPUTER,CPU, DELL OPTIPLEX 5050, SN :1PKQMK2",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
MOI/DISP/EO/0617,"Computer,CPU, DELL OPTIPLEX 9020",,,,,,Active,
MOI/DISP/EO/0531,"Computer,CPU, DELL optplex 3010",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0530,"Computer,CPU, DELL optplex 3010",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0519,"Computer,CPU, DELL optplex 3010",,,,,,Active,
MOI/DISP/EO/0537,"Computer,CPU, DELL optplex 3020",,,,,,Active,
MOI/DISP/EO/0515,"Computer,CPU, Dell optplex 3020",,,,,,Active,
MOI/DISP/EO/0514,"Computer,CPU, Dell optplex 3046",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0613,"Computer,CPU, DELL OPTPLEX 3046",,,,,,Active,
MOI/DISP/EO/0523,"Computer,CPU, DELL optplex 380",,,,,,Active,
MOI/DISP/EO/0557,"Computer,CPU, DELL optplex 380",,,,,,Active,
MOI/DISP/EO/0534,"Computer,CPU, DELL optplex 5050",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0552,"Computer,CPU, DELL optplex 5050",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0540,"Computer,CPU, DELL optplex 5050",,,,,,Active,
MOI/DISP/EO/0553,"Computer,CPU, DELL optplex 780",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0536,"Computer,CPU, DELL optplex 780",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0555,"Computer,CPU, DELL optplex 780",,,,,,Active,
MOI/DISP/EO/0556,"Computer,CPU, DELL optplex 780",,,,,,Active,
MOI/DISP/EO/0517,"Computer,CPU, DELL optplex 9020",,,,,,Active,
MOI/DISP/EO/0558,"Computer,CPU, DELL optplex 9020",,,,,,Active,
MOI/DISP/EO/0520,"Computer,CPU, DELL optplex 9020",,,,,,Active,
MOI/DISP/EO/0526,"Computer,CPU, DELL optplex 9020",,,,,,Active,
MOI/DISP/EO/0521,"Computer,CPU, DELL optplex 9021",,,,,,Active,
MOI/DISP/EO/0518,"Computer,CPU, DELL optplex 9021",,,,,,Active,
MOI/DISP/EO/0554,"Computer,CPU, DELL optplex GX 240",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
TR118*006677,"COMPUTER,CPU, DELL S/N 15YQY42",PHASE III,BASEMENT,STORE,SUPPLIES UNIT 3,GOOD,Active,
TR118*006675,"COMPUTER,CPU, DELL S/N 6X4MYXI",PHASE III,BASEMENT,STORE,SUPPLIES UNIT 3,GOOD,Active,
TR118*006781,"COMPUTER,CPU, DELL SN ",PHASE III,BASEMENT,STORE,SUPPLIES UNIT/GENERAL STORE,GOOD ,Active,
TR1118*006433,"COMPUTER,CPU, DELL, MODEL NO : D18M",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR1118*007513,"COMPUTER,CPU, DELL, SN :",MOI PHASE III,6 floor,DCSS,"LEVEL 6, NHIF OFFICE SUBMISSION",GOOD,Active,
TR118*006087,"COMPUTER,CPU, DELL, SN : JFYFV42",MOI PHASE III,5 floor,ICTM,ICT OFFICE II,GOOD,Active,
TR118*003422,"COMPUTER,CPU, DELL,SN:9K4KYX1",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",GOOD,Active,
TR118*007184,"COMPUTER,CPU, HP",PHASE III,BASEMENT,TECHNICAL SERVICE DEPT,WORKSHOP,GOOD,Active,
TR118*006801,"COMPUTER,CPU, HP ",PHASE III,BASEMENT,STORE,SUPPLIES UNIT NO 1,GOOD ,Active,
TR118*006679,"COMPUTER,CPU, HP ",PHASE III,BASEMENT,STORE,SUPPLIES UNIT 3,GOOD,Active,
TR118*008534,"COMPUTER,CPU, HP ,PRO TOWER, 290 G9 DESKTOP PC,CORE ™i7",PHASE III,BASEMENT,LAUNDRY,LAUNDRY,NEW,Active,
TR118*008026,"Computer,CPU, HP ,Prodesk,400 G5 MT,SN:CZC847H79",MOI PHASE I &II,FIRST FLOOR,PHYSIO,ROOM 3,GOOD,Active,
MOI/DISP/EO/0532,"Computer,CPU, HP 290 G4",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
TR118*0066779,"COMPUTER,CPU, HP 8CGaa23BS2G ",PHASE III,BASEMENT,STORE,SUPPLIES UNIT/GENERAL STORE,GOOD ,Active,
MOI/DISP/EO/0525,"Computer,CPU, HP ellitedesk",,,,,,Active,
MOI/DISP/EO/0529,"Computer,CPU, HP Ellitedesk 900 G1",,,,,,Active,
MOI/DISP/EO/0524,"Computer,CPU, HP Pro",,,,,,Active,
MOI/DISP/EO/0513,"Computer,CPU, HP Pro",,,,,,Active,
MOI/DISP/EO/0527,"Computer,CPU, HP Pro",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0516,"Computer,CPU, HP Pro",,,,,,Active,
MOI/DISP/EO/0551,"Computer,CPU, HP Pro 3400",,,,,,Active,
MOI/DISP/EO/0533,"Computer,CPU, HP Pro Desk 600 G1",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0528,"Computer,CPU, HP Pro Desk 600 G1",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
TR1118*006436,"COMPUTER,CPU, HP PRO MICROTOWER, SN : 4C92618V5",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR1118*006432,"COMPUTER,CPU, HP PRODESK 400 G5, SN : 4CE8482QBD",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR1118*006421,"COMPUTER,CPU, HP PRODESK 400 G5, SN: 4CE8482QC1",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
MOI/DISP/EO/0522,"Computer,CPU, HP RP5700",,,,,,Active,
TR118*006803,"COMPUTER,CPU, HP SERIAL NO.8CG093971CH",PHASE III,BASEMENT,STORE,SUPPLIES UNIT NO 1,GOOD ,Active,
TR118*0066777,"COMPUTER,CPU, HP SN 4CE213CD63",PHASE III,BASEMENT,STORE,SUPPLIES UNIT/GENERAL STORE,GOOD ,Active,
TR118*006788,"COMPUTER,CPU, HP SR 4CE215DWCX",PHASE III,BASEMENT,STORE,SUPPLIES UNIT NO 2,GOOD ,Active,
TR1118*006425,"COMPUTER,CPU, HP XW4600 WORKSTATION, SN: CAC811049T",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR118*006996,"COMPUTER,CPU, HP, 290 G1 MT, corei5-7500",PHASE III,GROUND,EMD,CONSULATION ROOM VIP,GOOD,Active,
