Asset Number,Asset Description,Building,Floor,Department,Room,Condition,Status,Notes
TR118*GAMIS72,"COMPUTER, LAPTOP, hp probook 450 G10 i7-1355U 16GB ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*000609,"COMPUTER, Laptop, HP Probook 450 G10, core i5, SN: 5CD330F19H",MOI PHASE I &II,FIRST FLOOR,DAHRM,267 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*000778,"Computer, Laptop, HP Probook 450 G10, core i7, SN: 5CD34960R5",MOI PHASE I &II,FIRST FLOOR,ED,211: INTERNAL AUDIT MANAGER,NEW,Active,
TR118*008309,"COMPUTER, Laptop, HP Probook 450 G10, Intel CORE i7, SN: 5CD34829N2",MOI PHASE I &II,FIRST FLOOR,ED,INTERNAL AUDIT OFFICE,NEW,Active,
TR118*000119,"Computer, Laptop, HP Probook 450 G5 Core i7, SN: 5CD210LL4M",MOI PHASE I &II,FIRST FLOOR,INTERNAL AUDIT,INTERNAL AUDIT OFFICE,NEW,Active,
TR118*000118,"Computer, Laptop, HP Probook 450 G5 Core i7, SN: 5CD3199HG8",MOI PHASE I &II,FIRST FLOOR,INTERNAL AUDIT,INTERNAL AUDIT OFFICE,NEW,Active,
TR118*000766,"Computer, Laptop, HP Probook 4500S, core i5, SN: 2CE3511JCO",MOI PHASE I &II,FIRST FLOOR,ED,207: LEGAL OFFICE,FAIR,Active,
TR118*GAMIS158,"COMPUTER, LAPTOP, HP PROBOOK 450G3",MOI PHASE I &II,FIRST FLOOR,DAHRM,275 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*GAMIS159,"COMPUTER, LAPTOP, HP PROBOOK 450G3",MOI PHASE I &II,FIRST FLOOR,DAHRM,275 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*GAMIS160,"COMPUTER, LAPTOP, HP PROBOOK 450G3",MOI PHASE I &II,FIRST FLOOR,DAHRM,275 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*GAMIS161,"COMPUTER, LAPTOP, HP PROBOOK 450G3",MOI PHASE I &II,FIRST FLOOR,DAHRM,275 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*GAMIS162,"COMPUTER, LAPTOP, HP PROBOOK 450G3",MOI PHASE I &II,FIRST FLOOR,DAHRM,275 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*GAMIS163,"COMPUTER, LAPTOP, HP PROBOOK 450G3",MOI PHASE I &II,FIRST FLOOR,DAHRM,275 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*GAMIS125,"COMPUTER, LAPTOP, HP PROBOOK 450RAM4GB.HDD 1TB,CORE I5, WINDOW 10 ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS126,"COMPUTER, LAPTOP, HP PROBOOK 450RAM4GB.HDD 1TB,CORE I5, WINDOW 10 ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS94,"COMPUTER, LAPTOP, HP SPECTURE XXX360,INTEL CORE 17, 16GBRAM",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS95,"COMPUTER, LAPTOP, HP SPECTURE XXX360,INTEL CORE 17, 16GBRAM",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS96,"COMPUTER, LAPTOP, HP SPECTURE XXX360,INTEL CORE 17, 16GBRAM",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS92,"COMPUTER, Laptop, Hp specturexx 360, intel core I7",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS93,"COMPUTER, Laptop, Hp specturexx 360, intel core I8",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
